0.093365192413330078 + 0.064929485321044922i,0.11858606338500977 + 0.071101188659667969i,0.12428760528564453 + 0.081521511077880859i,0.11650180816650391 + 0.084399223327636719i,0.098404884338378906 + 0.069788932800292969i,0.081740379333496094 + 0.044351100921630859i,0.081174373626708984 + 0.014467239379882813i,0.093352794647216797 - 0.017608165740966797i,0.11647891998291016 - 0.042287349700927734i,0.14351558685302734 - 0.039635181427001953i,0.15362071990966797 - 0.028375148773193359i,0.14968299865722656 - 0.0038342475891113281i,0.12522602081298828 + 0.0065131187438964844i,0.097036361694335938 - 0.0041399002075195313i,0.077523708343505859 - 0.032853603363037109i,0.075807571411132813 - 0.065378665924072266i,0.09452056884765625 - 0.091865062713623047i,0.12561273574829102 - 0.10071897506713867i,0.14404582977294922 - 0.08663177490234375i,0.14579057693481445 - 0.056918144226074219i,0.12263345718383789 - 0.035368442535400391i,0.090172767639160156 - 0.039865493774414063i,0.059309482574462891 - 0.058987140655517578i,0.053036212921142578 - 0.099199295043945313i,0.069255828857421875 - 0.12572383880615234i,0.099567413330078125 - 0.13462686538696289i,0.12666797637939453 - 0.11872339248657227i,0.13439321517944336 - 0.087460041046142578i,0.075625419616699219 - 0.049999713897705078i,0.043282508850097656 - 0.076467990875244141i,0.025582790374755859 - 0.11418437957763672i,0.035119056701660156 - 0.14669227600097656i,0.065699577331542969 - 0.16477823257446289i,0.10461902618408203 - 0.1587214469909668i,0.11483478546142578 - 0.1224822998046875i,0.10326290130615234 - 0.090456008911132813i,0.060219764709472656 - 0.068402290344238281i,0.020735263824462891 - 0.081177711486816406i,-0.0085978507995605469 - 0.11780357360839844i,-0.010526180267333984 - 0.16138601303100586i,0.013608932495117188 - 0.19024276733398438i,0.047013282775878906 - 0.18823909759521484i,0.0669708251953125 - 0.16101503372192383i,0.063158988952636719 - 0.11582088470458984i,0.033696651458740234 - 0.083841323852539063i,-0.017683506011962891 - 0.073374271392822266i,-0.070445060729980469 - 0.089917182922363281i,-0.094843387603759766 - 0.12625217437744141i,-0.096262454986572266 - 0.16218328475952148i,-0.071272373199462891 - 0.17981958389282227i,-0.043383598327636719 - 0.16790866851806641i,-0.025615215301513672 - 0.13019466400146484i,-0.031712055206298828 - 0.076415061950683594i,-0.059235572814941406 - 0.023502349853515625i,-0.098117828369140625 + 0.016678333282470703i,-0.13490962982177734 + 0.042661190032958984i
-0.036912918090820313 + 0.10821008682250977i,-0.036262989044189453 + 0.13337373733520508i,-0.042986869812011719 + 0.14222335815429688i,-0.046635627746582031 + 0.13430547714233398i,-0.038516998291015625 + 0.11595964431762695i,-0.019678115844726563 + 0.091467857360839844i,0.012147426605224609 + 0.081652641296386719i,0.047151565551757813 + 0.081904888153076172i,0.076197624206542969 + 0.095046520233154297i,0.086299896240234375 + 0.12133026123046875i,0.07881927490234375 + 0.13407659530639648i,0.057952404022216797 + 0.13907289505004883i,0.039199352264404297 + 0.11995792388916016i,0.040315628051757813 + 0.089064121246337891i,0.059669017791748047 + 0.0585174560546875i,0.0899658203125 + 0.045228958129882813i,0.12237167358398438 + 0.051420688629150391i,0.14195823669433594 + 0.075808525085449219i,0.13611984252929688 + 0.097396373748779297i,0.1129755973815918 + 0.11008214950561523i,0.083514213562011719 + 0.094698905944824219i,0.072640419006347656 + 0.065083503723144531i,0.081600666046142578 + 0.027532577514648438i,0.11248207092285156 + 0.0038342475891113281i,0.14549541473388672 + 0.0060319900512695313i,0.16603755950927734 + 0.028397560119628906i,0.16364240646362305 + 0.058300971984863281i,0.13983392715454102 + 0.076929092407226563i,0.081164836883544922 + 0.040890216827392578i,0.088124275207519531 + 0.00054407119750976563i,0.11143779754638672 - 0.033417224884033203i,0.14633274078369141 - 0.044312000274658203i,0.17526388168334961 - 0.027973651885986328i,0.19019365310668945 + 0.0063467025756835938i,0.16541051864624023 + 0.031668663024902344i,0.13284158706665039 + 0.038000106811523438i,0.089691162109375 + 0.01324462890625i,0.080313205718994141 - 0.028308391571044922i,0.093265533447265625 - 0.07192230224609375i,0.12801122665405273 - 0.098423480987548828i,0.16369819641113281 - 0.095529079437255859i,0.18029260635375977 - 0.067888259887695313i,0.172607421875 - 0.039508342742919922i,0.13205575942993164 - 0.017348289489746094i,0.087073802947998047 - 0.022360801696777344i,0.046741485595703125 - 0.057307720184326172i,0.028477191925048828 - 0.11050033569335938i,0.039197444915771484 - 0.15211677551269531i,0.06804656982421875 - 0.17596197128295898i,0.094240188598632813 - 0.16717720031738281i,0.10400009155273438 - 0.14086818695068359i,0.085924148559570313 - 0.10166597366333008i,0.0395660400390625 - 0.073763847351074219i,-0.019458770751953125 - 0.059983730316162109i,-0.078583717346191406 - 0.064222812652587891i,-0.12132787704467773 - 0.072903633117675781i
0.019289970397949219 - 0.099586009979248047i,0.011523246765136719 - 0.12773275375366211i,0.017396926879882813 - 0.14422607421875i,0.026177406311035156 - 0.14350605010986328i,0.024634838104248047 - 0.1212310791015625i,0.013457298278808594 - 0.097669124603271484i,-0.010287761688232422 - 0.078866004943847656i,-0.044830799102783203 - 0.073907852172851563i,-0.078406333923339844 - 0.082283973693847656i,-0.09198760986328125 - 0.10705280303955078i,-0.090248584747314453 - 0.12484502792358398i,-0.067701339721679688 - 0.13309669494628906i,-0.047066211700439453 - 0.11957883834838867i,-0.041420936584472656 - 0.091174125671386719i,-0.056344985961914063 - 0.058611869812011719i,-0.083433151245117188 - 0.041263103485107422i,-0.11842679977416992 - 0.045954704284667969i,-0.13818645477294922 - 0.066184520721435547i,-0.13916206359863281 - 0.092274665832519531i,-0.11126613616943359 - 0.10610580444335938i,-0.084315776824951172 - 0.097832679748535156i,-0.071538448333740234 - 0.066740989685058594i,-0.07501220703125 - 0.030875682830810547i,-0.10901403427124023 - 0.0063848495483398438i,-0.13776779174804688 - 0.0075931549072265625i,-0.16082286834716797 - 0.029999256134033203i,-0.15957164764404297 - 0.061123847961425781i,-0.13487911224365234 - 0.0814361572265625i,-0.076612949371337891 - 0.045387744903564453i,-0.083888053894042969 - 0.0051183700561523438i,-0.11361074447631836 + 0.025994777679443359i,-0.14575862884521484 + 0.030577659606933594i,-0.17710781097412109 + 0.0095591545104980469i,-0.18340015411376953 - 0.028889656066894531i,-0.15464210510253906 - 0.051068305969238281i,-0.11909723281860352 - 0.0511322021484375i,-0.082638740539550781 - 0.02010345458984375i,-0.079107761383056641 + 0.022143840789794922i,-0.10184574127197266 + 0.063625812530517578i,-0.14116668701171875 + 0.081176280975341797i,-0.17742252349853516 + 0.067173480987548828i,-0.18824338912963867 + 0.034545421600341797i,-0.16315412521362305 + 0.0041594505310058594i,-0.12110328674316406 - 0.0062184333801269531i,-0.078724384307861328 + 0.012458324432373047i,-0.052979946136474609 + 0.058587551116943359i,-0.051382064819335938 + 0.11093473434448242i,-0.078680992126464844 + 0.14433479309082031i,-0.11013698577880859 + 0.15326595306396484i,-0.13353061676025391 + 0.13186788558959961i,-0.12437868118286133 + 0.099564552307128906i,-0.091462135314941406 + 0.070118427276611328i,-0.038013935089111328 + 0.059048175811767578i,0.021157264709472656 + 0.068952560424804688i,0.069908618927001953 + 0.089039802551269531i,0.10120964050292969 + 0.11321592330932617i
-0.025470256805419922 + 0.10812807083129883i,-0.022329330444335938 + 0.13266944885253906i,-0.031117439270019531 + 0.14221572875976563i,-0.0366668701171875 + 0.13555049896240234i,-0.031165599822998047 + 0.11341714859008789i,-0.013027667999267578 + 0.089773178100585938i,0.014986991882324219 + 0.077289581298828125i,0.050132274627685547 + 0.077139854431152344i,0.078857421875 + 0.089178085327148438i,0.088031291961669922 + 0.11653041839599609i,0.081080913543701172 + 0.12995433807373047i,0.059075832366943359 + 0.13451480865478516i,0.039936542510986328 + 0.11594533920288086i,0.040345668792724609 + 0.085649967193603516i,0.058546066284179688 + 0.055509567260742188i,0.087991714477539063 + 0.042687416076660156i,0.11921167373657227 + 0.050819873809814453i,0.13805532455444336 + 0.075692176818847656i,0.13349628448486328 + 0.097708225250244141i,0.10587406158447266 + 0.10878419876098633i,0.079290390014648438 + 0.096222400665283203i,0.069248199462890625 + 0.065228462219238281i,0.076306343078613281 + 0.0298309326171875i,0.11142969131469727 + 0.0081162452697753906i,0.14038944244384766 + 0.011228084564208984i,0.16150712966918945 + 0.033891677856445313i,0.15626716613769531 + 0.065465927124023438i,0.13104820251464844 + 0.082961082458496094i,0.075413227081298828 + 0.047913551330566406i,0.084809780120849609 + 0.0070405006408691406i,0.11214447021484375 - 0.023573398590087891i,0.14565849304199219 - 0.028644561767578125i,0.17502880096435547 - 0.010200023651123047i,0.18483781814575195 + 0.027627944946289063i,0.15651798248291016 + 0.050032615661621094i,0.12311935424804688 + 0.053190231323242188i,0.084278106689453125 + 0.023931026458740234i,0.079170703887939453 - 0.016198635101318359i,0.098277568817138672 - 0.059462070465087891i,0.13587141036987305 - 0.080498218536376953i,0.17267704010009766 - 0.070905685424804688i,0.18613338470458984 - 0.03997802734375i,0.17013263702392578 - 0.0098357200622558594i,0.12986373901367188 + 0.0050687789916992188i,0.086384773254394531 - 0.005825042724609375i,0.054869174957275391 - 0.047495841979980469i,0.046429634094238281 - 0.10082149505615234i,0.067783832550048828 - 0.13995695114135742i,0.099294662475585938 - 0.15540456771850586i,0.1248469352722168 - 0.14269924163818359i,0.12615442276000977 - 0.11263227462768555i,0.10129356384277344 - 0.079799175262451172i,0.051688671112060547 - 0.061522006988525391i,-0.007568359375 - 0.061336994171142578i,-0.060589313507080078 - 0.076100826263427734i,-0.10017633438110352 - 0.096829891204833984i
-0.10921525955200195 - 0.04962921142578125i,-0.1322474479675293 - 0.053815364837646484i,-0.13658809661865234 - 0.061173439025878906i,-0.12691307067871094 - 0.063237190246582031i,-0.10213565826416016 - 0.046661376953125i,-0.085673332214355469 - 0.021342277526855469i,-0.081582069396972656 + 0.0096011161804199219i,-0.092654228210449219 + 0.042802810668945313i,-0.1119227409362793 + 0.067223548889160156i,-0.13657855987548828 + 0.066507339477539063i,-0.14637947082519531 + 0.056245803833007813i,-0.14033079147338867 + 0.033436298370361328i,-0.11827898025512695 + 0.021344184875488281i,-0.090105056762695313 + 0.028343677520751953i,-0.065509796142578125 + 0.055422782897949219i,-0.060267448425292969 + 0.086947441101074219i,-0.075765609741210938 + 0.11597824096679688i,-0.10001897811889648 + 0.12517738342285156i,-0.12276506423950195 + 0.11857223510742188i,-0.12525701522827148 + 0.086773872375488281i,-0.10776901245117188 + 0.065182685852050781i,-0.074846744537353516 + 0.06235504150390625i,-0.04026031494140625 + 0.074923992156982422i,-0.026957988739013672 + 0.1137847900390625i,-0.033653736114501953 + 0.13848543167114258i,-0.060044288635253906 + 0.15643215179443359i,-0.088970661163330078 + 0.14974737167358398i,-0.10509586334228516 + 0.12279748916625977i,-0.059785842895507813 + 0.071485042572021484i,-0.020364284515380859 + 0.082694530487060547i,0.0059370994567871094 + 0.11691856384277344i,0.0081195831298828125 + 0.14878654479980469i,-0.014896869659423828 + 0.17880153656005859i,-0.05260467529296875 + 0.18182706832885742i,-0.072648525238037109 + 0.15504932403564453i,-0.073288440704345703 + 0.12034320831298828i,-0.041687965393066406 + 0.087419509887695313i,-0.00044488906860351563 + 0.081156730651855469i,0.040391921997070313 + 0.10349607467651367i,0.061163902282714844 + 0.14297008514404297i,0.051797389984130859 + 0.180450439453125i,0.021828174591064453 + 0.19647741317749023i,-0.0089511871337890625 + 0.1775665283203125i,-0.022802352905273438 + 0.13993692398071289i,-0.0092463493347167969 + 0.097036838531494141i,0.03209686279296875 + 0.067963123321533203i,0.085427284240722656 + 0.058557987213134766i,0.1264190673828125 + 0.0806427001953125i,0.14548492431640625 + 0.11094856262207031i,0.13582038879394531 + 0.13879489898681641i,0.10933446884155273 + 0.14212131500244141i,0.079153060913085938 + 0.12180376052856445i,0.06101226806640625 + 0.075588703155517578i,0.0617218017578125 + 0.017692089080810547i,0.074130535125732422 - 0.040927886962890625i,0.0977935791015625 - 0.085273265838623047i
-0.065519332885742188 + 0.10267019271850586i,-0.071269035339355469 + 0.12305450439453125i,-0.078353404998779297 + 0.12600231170654297i,-0.075706005096435547 + 0.11513471603393555i,-0.061705112457275391 + 0.098321437835693359i,-0.032697677612304688 + 0.081035137176513672i,0.0033397674560546875 + 0.084054946899414063i,0.034974098205566406 + 0.094488143920898438i,0.057270050048828125 + 0.11532688140869141i,0.0593719482421875 + 0.14073944091796875i,0.046872138977050781 + 0.14928913116455078i,0.028528213500976563 + 0.14583301544189453i,0.018073081970214844 + 0.12008762359619141i,0.027083873748779297 + 0.0894775390625i,0.054422378540039063 + 0.065874099731445313i,0.086831569671630859 + 0.061237335205078125i,0.11480474472045898 + 0.073702812194824219i,0.12620973587036133 + 0.10272979736328125i,0.11551666259765625 + 0.11932086944580078i,0.09191131591796875 + 0.12613677978515625i,0.067771434783935547 + 0.10443496704101563i,0.063212871551513672 + 0.072669029235839844i,0.078275203704833984 + 0.037430286407470703i,0.11209678649902344 + 0.020179271697998047i,0.14717864990234375 + 0.025882244110107422i,0.16285467147827148 + 0.049426555633544922i,0.15617895126342773 + 0.077633857727050781i,0.12968635559082031 + 0.092570781707763672i,0.076564788818359375 + 0.049905776977539063i,0.088628768920898438 + 0.012742042541503906i,0.1122746467590332 - 0.020063400268554688i,0.14910793304443359 - 0.029025077819824219i,0.17564725875854492 - 0.0131683349609375i,0.1900482177734375 + 0.021716117858886719i,0.16541624069213867 + 0.044431209564208984i,0.13357782363891602 + 0.049353599548339844i,0.092984676361083984 + 0.025235176086425781i,0.083020687103271484 - 0.017198562622070313i,0.094391345977783203 - 0.061549186706542969i,0.12744951248168945 - 0.089674949645996094i,0.16393184661865234 - 0.088751792907714844i,0.18029642105102539 - 0.064486503601074219i,0.17952442169189453 - 0.035435199737548828i,0.1411290168762207 - 0.012872219085693359i,0.096692562103271484 - 0.015571117401123047i,0.055162429809570313 - 0.046611309051513672i,0.032884120941162109 - 0.098567008972167969i,0.037831783294677734 - 0.14331769943237305i,0.063504219055175781 - 0.17416095733642578i,0.089165687561035156 - 0.17108821868896484i,0.10320568084716797 - 0.15222692489624023i,0.091880321502685547 - 0.11408615112304688i,0.052239894866943359 - 0.080945014953613281i,-0.0039949417114257813 - 0.06160736083984375i,-0.064207553863525391 - 0.058171749114990234i,-0.11237573623657227 - 0.060937404632568359i
0.031076908111572266 + 0.11683559417724609i,0.042027473449707031 + 0.13603878021240234i,0.037649154663085938 + 0.14473199844360352i,0.029118061065673828 + 0.13807392120361328i,0.027592658996582031 + 0.10976552963256836i,0.035809040069580078 + 0.080096244812011719i,0.057994842529296875 + 0.058528423309326172i,0.089644432067871094 + 0.045873641967773438i,0.12041568756103516 + 0.046893119812011719i,0.13620185852050781 + 0.067517280578613281i,0.13365983963012695 + 0.082150459289550781i,0.11253499984741211 + 0.092603683471679688i,0.088449001312255859 + 0.081642627716064453i,0.076866626739501953 + 0.053580760955810547i,0.082669258117675781 + 0.018451213836669922i,0.1052403450012207 - 0.004657745361328125i,0.13696193695068359 - 0.008853912353515625i,0.16298818588256836 + 0.0061116218566894531i,0.16594505310058594 + 0.028758525848388672i,0.14506340026855469 + 0.049693584442138672i,0.1140589714050293 + 0.048516273498535156i,0.093984127044677734 + 0.024940967559814453i,0.084140300750732422 - 0.010106086730957031i,0.10753345489501953 - 0.044098854064941406i,0.13362932205200195 - 0.053286075592041016i,0.16275691986083984 - 0.042140960693359375i,0.17326498031616211 - 0.012869358062744141i,0.15957832336425781 + 0.014967918395996094i,0.092608451843261719 + 0.0089383125305175781i,0.08158111572265625 - 0.030945777893066406i,0.092216968536376953 - 0.070872783660888672i,0.11894655227661133 - 0.090767383575439453i,0.15464115142822266 - 0.088047027587890625i,0.18117094039916992 - 0.058827877044677734i,0.16933584213256836 - 0.025423049926757813i,0.14180994033813477 - 0.0057773590087890625i,0.094644546508789063 - 0.012871742248535156i,0.069149494171142578 - 0.044181346893310547i,0.063973426818847656 - 0.091118335723876953i,0.086635112762451172 - 0.12994146347045898i,0.12340688705444336 - 0.14145278930664063i,0.15288591384887695 - 0.12399101257324219i,0.15524768829345703 - 0.088988780975341797i,0.13026571273803711 - 0.05577850341796875i,0.088348865509033203 - 0.042750835418701172i,0.040639400482177734 - 0.061488151550292969i,0.0040678977966308594 - 0.10199069976806641i,0.00063323974609375 - 0.14801597595214844i,0.018418312072753906 - 0.18122291564941406i,0.047628402709960938 - 0.18852138519287109i,0.065101146697998047 - 0.16895198822021484i,0.06329345703125 - 0.13064956665039063i,0.033917427062988281 - 0.091357231140136719i,-0.017364978790283203 - 0.061787605285644531i,-0.072144031524658203 - 0.043236732482910156i,-0.12143421173095703 - 0.039594173431396484i
-0.010544776916503906 + 0.12153434753417969i,-0.00730133056640625 + 0.14174413681030273i,-0.012988090515136719 + 0.14842462539672852i,-0.018447399139404297 + 0.13801479339599609i,-0.010436058044433594 + 0.11279630661010742i,0.0077023506164550781 + 0.086642742156982422i,0.036120414733886719 + 0.074953079223632813i,0.068689823150634766 + 0.073307991027832031i,0.097612857818603516 + 0.085419654846191406i,0.10475921630859375 + 0.10988998413085938i,0.097603321075439453 + 0.12174606323242188i,0.075804710388183594 + 0.1256709098815918i,0.056626319885253906 + 0.10633373260498047i,0.055163860321044922 + 0.076035499572753906i,0.072217464447021484 + 0.044783115386962891i,0.10110330581665039 + 0.031018733978271484i,0.13089323043823242 + 0.03787994384765625i,0.15223169326782227 + 0.060224533081054688i,0.14591884613037109 + 0.082077503204345703i,0.12044095993041992 + 0.096155643463134766i,0.090342998504638672 + 0.083850860595703125i,0.080684661865234375 + 0.054714202880859375i,0.083875656127929688 + 0.019391536712646484i,0.11597967147827148 - 0.0055041313171386719i,0.14562892913818359 - 0.0049448013305664063i,0.16652345657348633 + 0.016652107238769531i,0.1667327880859375 + 0.046473979949951172i,0.14383649826049805 + 0.068185329437255859i,0.083600044250488281 + 0.039248943328857422i,0.088828086853027344 - 0.0023794174194335938i,0.11146736145019531 - 0.034525394439697266i,0.14441204071044922 - 0.046849250793457031i,0.17412567138671875 - 0.029564380645751953i,0.19025230407714844 + 0.0062203407287597656i,0.1673274040222168 + 0.032170295715332031i,0.13579273223876953 + 0.040808200836181641i,0.093706607818603516 + 0.01840972900390625i,0.081567287445068359 - 0.0195159912109375i,0.092115402221679688 - 0.065311908721923828i,0.12565803527832031 - 0.09256744384765625i,0.16436624526977539 - 0.092257976531982422i,0.18323802947998047 - 0.064585208892822266i,0.17609786987304688 - 0.033267021179199219i,0.13958168029785156 - 0.010106563568115234i,0.097312450408935547 - 0.011607646942138672i,0.057911396026611328 - 0.044525623321533203i,0.038437843322753906 - 0.095433712005615234i,0.051667690277099609 - 0.13859367370605469i,0.078472137451171875 - 0.16520929336547852i,0.10830211639404297 - 0.16016292572021484i,0.11854743957519531 - 0.13729286193847656i,0.10206985473632813 - 0.10176420211791992i,0.060401439666748047 - 0.07506561279296875i,0.0040040016174316406 - 0.062611579895019531i,-0.05394744873046875 - 0.066390514373779297i,-0.10097789764404297 - 0.078795433044433594i
0.0066113471984863281 + 0.11519241333007813i,0.016418933868408203 + 0.13753032684326172i,0.011083126068115234 + 0.14739847183227539i,0.0037579536437988281 + 0.14215183258056641i,0.0028505325317382813 + 0.12238311767578125i,0.012037277221679688 + 0.092172145843505859i,0.037213802337646484 + 0.074454784393310547i,0.069964885711669922 + 0.063501358032226563i,0.10245847702026367 + 0.068513870239257813i,0.11725044250488281 + 0.092116832733154297i,0.11462020874023438 + 0.10711097717285156i,0.093774795532226563 + 0.11875295639038086i,0.069968223571777344 + 0.10480022430419922i,0.061359882354736328 + 0.075998783111572266i,0.072707176208496094 + 0.042951583862304688i,0.097187042236328125 + 0.023466110229492188i,0.12871980667114258 + 0.023422718048095703i,0.15587520599365234 + 0.045458793640136719i,0.15295171737670898 + 0.068183422088623047i,0.13129425048828125 + 0.086871147155761719i,0.099452018737792969 + 0.078341484069824219i,0.084568500518798828 + 0.051639556884765625i,0.083936691284179688 + 0.014299392700195313i,0.11257171630859375 - 0.011444568634033203i,0.14502477645874023 - 0.013776779174804688i,0.16778945922851563 + 0.0067839622497558594i,0.16858768463134766 + 0.037842750549316406i,0.14642715454101563 + 0.059846401214599609i,0.082886695861816406 + 0.033006191253662109i,0.089529514312744141 - 0.0052499771118164063i,0.11002111434936523 - 0.039633750915527344i,0.14252328872680664 - 0.050822257995605469i,0.17232275009155273 - 0.034333705902099609i,0.19171953201293945 + 0.00081396102905273438i,0.16432666778564453 + 0.028874397277832031i,0.13430929183959961 + 0.03737640380859375i,0.089868068695068359 + 0.013434410095214844i,0.082447052001953125 - 0.027077674865722656i,0.096494197845458984 - 0.070140838623046875i,0.13255548477172852 - 0.094804763793945313i,0.16737747192382813 - 0.087912559509277344i,0.18210268020629883 - 0.058656215667724609i,0.17324686050415039 - 0.028404712677001953i,0.13150501251220703 - 0.0082874298095703125i,0.089617729187011719 - 0.015273571014404297i,0.053330898284912109 - 0.052727699279785156i,0.040615081787109375 - 0.10675716400146484i,0.059395790100097656 - 0.1453399658203125i,0.090459346771240234 - 0.16526889801025391i,0.11720848083496094 - 0.15128755569458008i,0.12207412719726563 - 0.12506341934204102i,0.098598003387451172 - 0.088315010070800781i,0.049663543701171875 - 0.066659450531005859i,-0.0101318359375 - 0.064441204071044922i,-0.0640716552734375 - 0.078756332397460938i,-0.10315418243408203 - 0.095639228820800781i
-0.095151901245117188 - 0.058506011962890625i,-0.11904811859130859 - 0.064449787139892578i,-0.12503767013549805 - 0.077109813690185547i,-0.11538600921630859 - 0.083251476287841797i,-0.096657276153564453 - 0.068546295166015625i,-0.079667568206787109 - 0.043931007385253906i,-0.077340602874755859 - 0.017804622650146484i,-0.090627670288085938 + 0.013380050659179688i,-0.11685466766357422 + 0.035730361938476563i,-0.14193630218505859 + 0.027131080627441406i,-0.1538548469543457 + 0.015496730804443359i,-0.14554738998413086 - 0.010169506072998047i,-0.12167739868164063 - 0.019177913665771484i,-0.0942840576171875 - 0.0079317092895507813i,-0.077869892120361328 + 0.022289752960205078i,-0.080770015716552734 + 0.053559303283691406i,-0.1047978401184082 + 0.074496269226074219i,-0.13766145706176758 + 0.077550888061523438i,-0.15617179870605469 + 0.058911323547363281i,-0.14950370788574219 + 0.025811195373535156i,-0.1239628791809082 + 0.0087761878967285156i,-0.096404075622558594 + 0.018703460693359375i,-0.068753242492675781 + 0.041240692138671875i,-0.075534820556640625 + 0.082402229309082031i,-0.095207691192626953 + 0.10213947296142578i,-0.12785720825195313 + 0.10333061218261719i,-0.15045833587646484 + 0.078133583068847656i,-0.14861011505126953 + 0.044278144836425781i,-0.084093570709228516 + 0.022240161895751953i,-0.063338279724121094 + 0.057246208190917969i,-0.062704086303710938 + 0.097844600677490234i,-0.08069610595703125 + 0.12245464324951172i,-0.11918926239013672 + 0.12834548950195313i,-0.1563868522644043 + 0.10481834411621094i,-0.15003442764282227 + 0.06543731689453125i,-0.12916088104248047 + 0.039757728576660156i,-0.078302383422851563 + 0.034130573272705078i,-0.051602840423583984 + 0.062508583068847656i,-0.040502548217773438 + 0.10919666290283203i,-0.059547901153564453 + 0.14753103256225586i,-0.095941543579101563 + 0.16158485412597656i,-0.12954139709472656 + 0.14279699325561523i,-0.13260507583618164 + 0.10572147369384766i,-0.10862541198730469 + 0.067977428436279297i,-0.069427967071533203 + 0.052599906921386719i,-0.022182941436767578 + 0.070674896240234375i,0.013751983642578125 + 0.11096525192260742i,0.010566234588623047 + 0.1554718017578125i,-0.0093278884887695313 + 0.18468093872070313i,-0.043584823608398438 + 0.18569326400756836i,-0.058472156524658203 + 0.15821123123168945i,-0.050649166107177734 + 0.11787319183349609i,-0.018147945404052734 + 0.076612472534179688i,0.034664154052734375 + 0.052143573760986328i,0.087082386016845703 + 0.043386459350585938i,0.12912654876708984 + 0.048621177673339844i
