-0.22110748291015625 - 0.12566947937011719i,-0.32353353500366211 - 0.14263772964477539i,-0.4213719367980957 - 0.18394088745117188i,-0.42571020126342773 - 0.23162078857421875i,-0.35472965240478516 - 0.22433233261108398i,-0.31450176239013672 - 0.21670246124267578i,-0.21371269226074219 - 0.13209247589111328i,-0.2111968994140625 - 0.022303104400634766i,-0.23193168640136719 + 0.10746240615844727i,-0.29505062103271484 + 0.18138790130615234i,-0.40113687515258789 + 0.21002769470214844i,-0.43344259262084961 + 0.16675806045532227i,-0.46312141418457031 + 0.095510482788085938i,-0.39986038208007813 + 0.049811363220214844i,-0.29488563537597656 + 0.042185306549072266i,-0.20994234085083008 + 0.097712039947509766i,-0.13591909408569336 + 0.23171758651733398i,-0.13719272613525391 + 0.33038520812988281i,-0.22032785415649414 + 0.40985584259033203i,-0.28958702087402344 + 0.3732151985168457i,-0.37407207489013672 + 0.33642244338989258i,-0.34289216995239258 + 0.24243068695068359i,-0.27343606948852539 + 0.16140937805175781i,-0.1381068229675293 + 0.18161916732788086i,-0.030445575714111328 + 0.23270559310913086i,-0.0015697479248046875 + 0.32912015914916992i,-0.024977207183837891 + 0.44749307632446289i,-0.09745025634765625 + 0.48360967636108398i,-0.22675275802612305 + 0.38888216018676758i,-0.17180919647216797 + 0.28799104690551758i,-0.08000946044921875 + 0.22452735900878906i,0.038403987884521484 + 0.23309183120727539i,0.12046337127685547 + 0.31295537948608398i,0.12979030609130859 + 0.41689634323120117i,0.090910911560058594 + 0.49018716812133789i,0.026393890380859375 + 0.50524473190307617i,-0.045823097229003906 + 0.44965887069702148i,-0.0388641357421875 + 0.3490443229675293i,0.023390293121337891 + 0.25340032577514648i,0.12526178359985352 + 0.22347354888916016i,0.26210689544677734 + 0.24354362487792969i,0.32095670700073242 + 0.31799697875976563i,0.30541229248046875 + 0.35620546340942383i,0.28633785247802734 + 0.45128345489501953i,0.21410989761352539 + 0.40762424468994141i,0.18777942657470703 + 0.34020185470581055i,0.16331863403320313 + 0.21299839019775391i,0.23356723785400391 + 0.11283445358276367i,0.32357120513916016 + 0.028502464294433594i,0.44572591781616211 + 0.0088162422180175781i,0.47290992736816406 - 0.0040984153747558594i,0.51083278656005859 + 0.034325122833251953i,0.46420860290527344 + 0.034241199493408203i,0.37946653366088867 + 0.0029554367065429688i,0.22532749176025391 - 0.078674793243408203i,0.13500118255615234 - 0.19268989562988281i
0.25900554656982422 + 0.0081081390380859375i,0.35515594482421875 - 0.029445171356201172i,0.46000194549560547 - 0.027514457702636719i,0.48338747024536133 + 0.012248039245605469i,0.42043352127075195 + 0.042048931121826172i,0.37148046493530273 + 0.060040473937988281i,0.25391197204589844 + 0.035815715789794922i,0.19831609725952148 - 0.058292388916015625i,0.17339229583740234 - 0.19603824615478516i,0.20669269561767578 - 0.27859973907470703i,0.29880142211914063 - 0.34429740905761719i,0.35694122314453125 - 0.29237270355224609i,0.41671037673950195 - 0.22606754302978516i,0.37145566940307617 - 0.15507888793945313i,0.27254486083984375 - 0.11278009414672852i,0.17438888549804688 - 0.14182710647583008i,0.076860427856445313 - 0.24732303619384766i,0.069049358367919922 - 0.35860443115234375i,0.13530588150024414 - 0.44673252105712891i,0.22252464294433594 - 0.41664552688598633i,0.31672430038452148 - 0.38798618316650391i,0.30432033538818359 - 0.29687404632568359i,0.24391841888427734 - 0.19225072860717773i,0.11452674865722656 - 0.19702434539794922i,0.017032146453857422 - 0.22851419448852539i,-0.01427459716796875 - 0.32830047607421875i,0.012487888336181641 - 0.44522905349731445i,0.092010974884033203 - 0.48269939422607422i,0.22576713562011719 - 0.3825535774230957i,0.18279361724853516 - 0.28229904174804688i,0.092844009399414063 - 0.22233343124389648i,-0.019906997680664063 - 0.23457241058349609i,-0.093519210815429688 - 0.32228183746337891i,-0.088341712951660156 - 0.43110466003417969i,-0.032134532928466797 - 0.49618101119995117i,0.048281192779541016 - 0.50591707229614258i,0.11400985717773438 - 0.43455696105957031i,0.10920429229736328 - 0.33739614486694336i,0.041420936584472656 - 0.25739145278930664i,-0.070572853088378906 - 0.24968624114990234i,-0.19243097305297852 - 0.3008723258972168i,-0.2249751091003418 - 0.39123725891113281i,-0.19296169281005859 - 0.43017387390136719i,-0.14297771453857422 - 0.51033973693847656i,-0.0757904052734375 - 0.45839309692382813i,-0.060184478759765625 - 0.38571929931640625i,-0.085009574890136719 - 0.25248622894287109i,-0.18038177490234375 - 0.19191980361938477i,-0.29106044769287109 - 0.14558219909667969i,-0.40479183197021484 - 0.18148946762084961i,-0.42981624603271484 - 0.20059585571289063i,-0.44789218902587891 - 0.25612640380859375i,-0.39681196212768555 - 0.24299287796020508i,-0.33241081237792969 - 0.17633724212646484i,-0.23544454574584961 - 0.044562339782714844i,-0.2139887809753418 + 0.096783638000488281i
-0.21290969848632813 + 0.077670097351074219i,-0.28022098541259766 + 0.16118192672729492i,-0.37731552124023438 + 0.22578954696655273i,-0.43471431732177734 + 0.21116399765014648i,-0.40132904052734375 + 0.16111230850219727i,-0.3923029899597168 + 0.11317539215087891i,-0.26818656921386719 + 0.069054126739501953i,-0.18447351455688477 + 0.11960697174072266i,-0.088382720947265625 + 0.22418642044067383i,-0.073216438293457031 + 0.31161117553710938i,-0.11991739273071289 + 0.42138195037841797i,-0.18484640121459961 + 0.41644811630249023i,-0.27819299697875977 + 0.39285612106323242i,-0.27748775482177734 + 0.31376218795776367i,-0.21978330612182617 + 0.2267298698425293i,-0.12489891052246094 + 0.20118331909179688i,0.016568183898925781 + 0.25143146514892578i,0.082760810852050781 + 0.33558225631713867i,0.063024997711181641 + 0.4520263671875i,-0.023629665374755859 + 0.46278667449951172i,-0.12804746627807617 + 0.49152946472167969i,-0.16102933883666992 + 0.39788150787353516i,-0.15673685073852539 + 0.27886104583740234i,-0.033438682556152344 + 0.22873210906982422i,0.077772617340087891 + 0.21329832077026367i,0.14182806015014648 + 0.29088211059570313i,0.17021560668945313 + 0.41047239303588867i,0.10821914672851563 + 0.47984409332275391i,-0.057749271392822266 + 0.44222116470336914i,-0.053757667541503906 + 0.32605648040771484i,0.0063834190368652344 + 0.23940896987915039i,0.11855936050415039 + 0.20444297790527344i,0.21422195434570313 + 0.267730712890625i,0.24766349792480469 + 0.36956024169921875i,0.21466970443725586 + 0.4510345458984375i,0.14017868041992188 + 0.47971153259277344i,0.058911800384521484 + 0.43086814880371094i,0.033363819122314453 + 0.33772993087768555i,0.078157901763916016 + 0.23799896240234375i,0.18011903762817383 + 0.19968938827514648i,0.30997371673583984 + 0.20851945877075195i,0.36666774749755859 + 0.29040145874023438i,0.33409881591796875 + 0.32910966873168945i,0.31226301193237305 + 0.42655181884765625i,0.22369623184204102 + 0.3835906982421875i,0.19831371307373047 + 0.31082916259765625i,0.18027973175048828 + 0.17579030990600586i,0.26190853118896484 + 0.090977191925048828i,0.35218715667724609 + 0.0228424072265625i,0.46537208557128906 + 0.034331321716308594i,0.4735569953918457 + 0.036795139312744141i,0.49956130981445313 + 0.091464519500732422i,0.43459606170654297 + 0.083773136138916016i,0.34634733200073242 + 0.031656265258789063i,0.20294284820556641 - 0.071036338806152344i,0.15076398849487305 - 0.19983100891113281i
-0.25281095504760742 - 0.039487838745117188i,-0.35294961929321289 - 0.017766475677490234i,-0.45709228515625 - 0.029367446899414063i,-0.47749614715576172 - 0.07904815673828125i,-0.40857028961181641 - 0.10060262680053711i,-0.35958003997802734 - 0.11295413970947266i,-0.24612855911254883 - 0.071225166320800781i,-0.20803403854370117 + 0.030362606048583984i,-0.19819355010986328 + 0.16516494750976563i,-0.2481231689453125 + 0.23969316482543945i,-0.34889936447143555 + 0.29058122634887695i,-0.39684295654296875 + 0.23418521881103516i,-0.44489192962646484 + 0.1624760627746582i,-0.3897404670715332 + 0.099843502044677734i,-0.28812599182128906 + 0.071756839752197266i,-0.19692754745483398 + 0.11091089248657227i,-0.11891937255859375 + 0.22977828979492188i,-0.12363243103027344 + 0.34101200103759766i,-0.20753097534179688 + 0.41437721252441406i,-0.28911781311035156 + 0.37381172180175781i,-0.37450170516967773 + 0.33030080795288086i,-0.35182046890258789 + 0.23588323593139648i,-0.27691030502319336 + 0.14670372009277344i,-0.15128850936889648 + 0.17421150207519531i,-0.057081699371337891 + 0.22591781616210938i,-0.043503284454345703 + 0.32210683822631836i,-0.090006828308105469 + 0.43362283706665039i,-0.17601585388183594 + 0.45737361907958984i,-0.29599857330322266 + 0.33154726028442383i,-0.23372554779052734 + 0.24507856369018555i,-0.13936662673950195 + 0.20342350006103516i,-0.028055667877197266 + 0.23604154586791992i,0.025441169738769531 + 0.33297252655029297i,-0.0029201507568359375 + 0.43748760223388672i,-0.070035934448242188 + 0.48923778533935547i,-0.15179729461669922 + 0.48600006103515625i,-0.19982147216796875 + 0.40079736709594727i,-0.17615985870361328 + 0.30991840362548828i,-0.090526580810546875 + 0.24820899963378906i,0.016919136047363281 + 0.26105546951293945i,0.12286043167114258 + 0.33515310287475586i,0.13181877136230469 + 0.42960834503173828i,0.097299575805664063 + 0.45952129364013672i,0.028714179992675781 + 0.52635288238525391i,-0.032192707061767578 + 0.46046781539916992i,-0.025706768035888672 + 0.38848209381103516i,0.024179935455322266 + 0.26584243774414063i,0.12987995147705078 + 0.22899627685546875i,0.24568939208984375 + 0.21436786651611328i,0.3473658561706543 + 0.27254581451416016i,0.37177228927612305 + 0.29562950134277344i,0.37346935272216797 + 0.35040998458862305i,0.32994699478149414 + 0.32431507110595703i,0.28094816207885742 + 0.2491154670715332i,0.21710681915283203 + 0.10240983963012695i,0.22823858261108398 - 0.041844367980957031i
-0.12712860107421875 + 0.15600681304931641i,-0.10254573822021484 + 0.27101850509643555i,-0.1182703971862793 + 0.40021133422851563i,-0.16484928131103516 + 0.44690275192260742i,-0.17778682708740234 + 0.40295839309692383i,-0.21090793609619141 + 0.37400913238525391i,-0.16148281097412109 + 0.25924348831176758i,-0.076211452484130859 + 0.2216191291809082i,0.06708526611328125 + 0.2126007080078125i,0.15452861785888672 + 0.25250625610351563i,0.22377395629882813 + 0.355133056640625i,0.19066047668457031 + 0.40853452682495117i,0.12582635879516602 + 0.47172737121582031i,0.063904285430908203 + 0.43239116668701172i,0.032112598419189453 + 0.33551120758056641i,0.064503669738769531 + 0.24256181716918945i,0.18594598770141602 + 0.15855693817138672i,0.3000493049621582 + 0.1376190185546875i,0.38622331619262695 + 0.21657276153564453i,0.3598027229309082 + 0.29355764389038086i,0.32945156097412109 + 0.39019107818603516i,0.23723697662353516 + 0.36314821243286133i,0.15122509002685547 + 0.29661750793457031i,0.16855525970458984 + 0.16097736358642578i,0.21763229370117188 + 0.060733318328857422i,0.32060003280639648 + 0.039138317108154297i,0.440460205078125 + 0.075974941253662109i,0.4716334342956543 + 0.15855026245117188i,0.36048173904418945 + 0.27091169357299805i,0.25380706787109375 + 0.20153665542602539i,0.21560382843017578 + 0.10247373580932617i,0.24391078948974609 - 0.013686180114746094i,0.34736013412475586 - 0.071360111236572266i,0.44094419479370117 - 0.058516025543212891i,0.5042109489440918 + 0.0057129859924316406i,0.48681211471557617 + 0.079462051391601563i,0.41275167465209961 + 0.12228679656982422i,0.30712080001831055 + 0.096429824829101563i,0.24232101440429688 + 0.0056219100952148438i,0.25301504135131836 - 0.11090755462646484i,0.31901931762695313 - 0.22983360290527344i,0.41284990310668945 - 0.24336147308349609i,0.43297386169433594 - 0.19408702850341797i,0.49663305282592773 - 0.14546585083007813i,0.41468238830566406 - 0.089730262756347656i,0.32725191116333008 - 0.097588062286376953i,0.20003461837768555 - 0.14462661743164063i,0.15014505386352539 - 0.24980783462524414i,0.11794710159301758 - 0.35487461090087891i,0.16649198532104492 - 0.4568791389465332i,0.17233085632324219 - 0.4458770751953125i,0.21035432815551758 - 0.44571399688720703i,0.17212200164794922 - 0.37917661666870117i,0.076945304870605469 - 0.30918502807617188i,-0.065241813659667969 - 0.19894027709960938i,-0.20791101455688477 - 0.18268823623657227i
0.087204933166503906 + 0.21298551559448242i,0.17684412002563477 + 0.27235698699951172i,0.24724149703979492 + 0.36437892913818359i,0.23138713836669922 + 0.41124773025512695i,0.18916130065917969 + 0.39547491073608398i,0.14204216003417969 + 0.37214088439941406i,0.10239267349243164 + 0.26384639739990234i,0.13410186767578125 + 0.16360664367675781i,0.22821378707885742 + 0.065587997436523438i,0.32048130035400391 + 0.032793998718261719i,0.43027162551879883 + 0.063283443450927734i,0.44566965103149414 + 0.13388252258300781i,0.42926311492919922 + 0.22102165222167969i,0.35011863708496094 + 0.22958850860595703i,0.25698137283325195 + 0.17498111724853516i,0.21767568588256836 + 0.084451675415039063i,0.23424959182739258 - 0.062668800354003906i,0.32011508941650391 - 0.14383935928344727i,0.42334842681884766 - 0.14358234405517578i,0.47149944305419922 - 0.074658870697021484i,0.49559402465820313 + 0.017706871032714844i,0.42656660079956055 + 0.065999031066894531i,0.31119394302368164 + 0.083430767059326172i,0.22865438461303711 - 0.018227577209472656i,0.19691133499145508 - 0.13283252716064453i,0.24991512298583984 - 0.21514034271240234i,0.35353994369506836 - 0.27100801467895508i,0.42845344543457031 - 0.23285531997680664i,0.43553972244262695 - 0.074719429016113281i,0.33548736572265625 - 0.048219203948974609i,0.22307872772216797 - 0.077052116394042969i,0.16695070266723633 - 0.18132209777832031i,0.1743011474609375 - 0.28718376159667969i,0.26157474517822266 - 0.36014032363891602i,0.34519815444946289 - 0.35744142532348633i,0.39843893051147461 - 0.30758237838745117i,0.38421249389648438 - 0.21224689483642578i,0.31017160415649414 - 0.15991401672363281i,0.19434833526611328 - 0.16514301300048828i,0.11373519897460938 - 0.2442173957824707i,0.072336196899414063 - 0.36990118026733398i,0.11660909652709961 - 0.44043111801147461i,0.16601467132568359 - 0.45421361923217773i,0.24960136413574219 - 0.45180606842041016i,0.25256443023681641 - 0.37581729888916016i,0.19094324111938477 - 0.30355358123779297i,0.081210136413574219 - 0.24159431457519531i,-0.036741733551025391 - 0.27031135559082031i,-0.13883352279663086 - 0.32383489608764648i,-0.18773221969604492 - 0.42143440246582031i,-0.19469070434570313 - 0.4531397819519043i,-0.15380334854125977 - 0.47771644592285156i,-0.13123464584350586 - 0.41728305816650391i,-0.13587474822998047 - 0.30834197998046875i,-0.1730809211730957 - 0.14755821228027344i,-0.24840974807739258 - 0.024020195007324219i
-0.21050500869750977 + 0.089272975921630859i,-0.27560806274414063 + 0.1714329719543457i,-0.36935853958129883 + 0.24408960342407227i,-0.41967630386352539 + 0.23356914520263672i,-0.39200401306152344 + 0.18645668029785156i,-0.37716388702392578 + 0.13552188873291016i,-0.26365137100219727 + 0.089889049530029297i,-0.1702117919921875 + 0.13077449798583984i,-0.070895195007324219 + 0.22955083847045898i,-0.048288822174072266 + 0.31541299819946289i,-0.085467815399169922 + 0.43153095245361328i,-0.15903663635253906 + 0.43039417266845703i,-0.25713348388671875 + 0.40541315078735352i,-0.26065969467163086 + 0.32628583908081055i,-0.20737552642822266 + 0.2386021614074707i,-0.11200952529907227 + 0.20902395248413086i,0.038732528686523438 + 0.24335908889770508i,0.11027908325195313 + 0.33358526229858398i,0.099893569946289063 + 0.44106292724609375i,0.015367031097412109 + 0.46718454360961914i,-0.087972164154052734 + 0.49301290512084961i,-0.11935997009277344 + 0.4123988151550293i,-0.13015365600585938 + 0.2974095344543457i,-0.011021137237548828 + 0.22949600219726563i,0.093701839447021484 + 0.2091217041015625i,0.15975332260131836 + 0.28020715713500977i,0.2001347541809082 + 0.39922571182250977i,0.14808368682861328 + 0.46989345550537109i,-0.010912418365478516 + 0.44994306564331055i,-0.016119003295898438 + 0.33764743804931641i,0.029338836669921875 + 0.23540115356445313i,0.14371871948242188 + 0.19927358627319336i,0.24083900451660156 + 0.24107265472412109i,0.29204320907592773 + 0.33697843551635742i,0.2679142951965332 + 0.42330074310302734i,0.20246648788452148 + 0.46033096313476563i,0.11749601364135742 + 0.42424392700195313i,0.073973655700683594 + 0.3364720344543457i,0.10447788238525391 + 0.22758579254150391i,0.19950342178344727 + 0.18222427368164063i,0.33240699768066406 + 0.17987298965454102i,0.39674854278564453 + 0.24334430694580078i,0.37697601318359375 + 0.28929328918457031i,0.35826396942138672 + 0.37859106063842773i,0.27453374862670898 + 0.35249614715576172i,0.23141384124755859 + 0.2787785530090332i,0.20672845840454102 + 0.14832067489624023i,0.26938962936401367 + 0.055659770965576172i,0.35049772262573242 - 0.025933265686035156i,0.46463394165039063 - 0.035069465637207031i,0.47970819473266602 - 0.024649620056152344i,0.50576543807983398 + 0.033203125i,0.44257211685180664 + 0.033979415893554688i,0.34638309478759766 - 0.011328697204589844i,0.19516992568969727 - 0.10245084762573242i,0.12017679214477539 - 0.21739387512207031i
0.25018501281738281 + 0.049202442169189453i,0.3521723747253418 + 0.030612468719482422i,0.45820808410644531 + 0.039753437042236328i,0.47512435913085938 + 0.088802337646484375i,0.40396022796630859 + 0.10325193405151367i,0.35809898376464844 + 0.11185598373413086i,0.24090099334716797 + 0.066065311431884766i,0.20553350448608398 - 0.036737442016601563i,0.19184017181396484 - 0.16860389709472656i,0.23281192779541016 - 0.25088882446289063i,0.33033370971679688 - 0.30995941162109375i,0.37734842300415039 - 0.26329278945922852i,0.42567205429077148 - 0.20272254943847656i,0.37690019607543945 - 0.13704729080200195i,0.27984046936035156 - 0.10105514526367188i,0.18109226226806641 - 0.13418292999267578i,0.08164215087890625 - 0.24478721618652344i,0.066399574279785156 - 0.35077047348022461i,0.12951087951660156 - 0.44369602203369141i,0.21505117416381836 - 0.41975164413452148i,0.3101806640625 - 0.39404106140136719i,0.29708719253540039 - 0.29656505584716797i,0.24559593200683594 - 0.19863700866699219i,0.10725545883178711 - 0.19712400436401367i,0.0020580291748046875 - 0.22608089447021484i,-0.040988922119140625 - 0.32236480712890625i,-0.034165382385253906 - 0.4445343017578125i,0.043395042419433594 - 0.49046802520751953i,0.18425559997558594 - 0.40866899490356445i,0.14486265182495117 - 0.29882478713989258i,0.059679985046386719 - 0.231048583984375i,-0.057358741760253906 - 0.22832870483398438i,-0.14238882064819336 - 0.30382776260375977i,-0.15701055526733398 - 0.4058685302734375i,-0.11793136596679688 - 0.48499679565429688i,-0.048725128173828125 - 0.50348567962646484i,0.028824329376220703 - 0.4503941535949707i,0.034692764282226563 - 0.34897422790527344i,-0.024515628814697266 - 0.256439208984375i,-0.12738656997680664 - 0.22147703170776367i,-0.26339101791381836 - 0.24010562896728516i,-0.32260274887084961 - 0.31517744064331055i,-0.30454158782958984 - 0.35541534423828125i,-0.28282260894775391 - 0.45080184936523438i,-0.20586872100830078 - 0.41473627090454102i,-0.17577934265136719 - 0.34653997421264648i,-0.15508270263671875 - 0.21938562393188477i,-0.22618722915649414 - 0.12422752380371094i,-0.31825351715087891 - 0.044638633728027344i,-0.43991613388061523 - 0.033886432647705078i,-0.46610164642333984 - 0.031629562377929688i,-0.51006174087524414 - 0.073167324066162109i,-0.4587702751159668 - 0.074293613433837891i,-0.37978601455688477 - 0.038882732391357422i,-0.23329448699951172 + 0.052144050598144531i,-0.15304136276245117 + 0.17518329620361328i
0.16856861114501953 + 0.14837741851806641i,0.27376317977905273 + 0.16866636276245117i,0.37407016754150391 + 0.2211155891418457i,0.38329601287841797 + 0.27566051483154297i,0.33332109451293945 + 0.28022289276123047i,0.27625846862792969 + 0.28152322769165039i,0.193145751953125 + 0.20463705062866211i,0.18410110473632813 + 0.10278558731079102i,0.232269287109375 - 0.027561664581298828i,0.30536079406738281 - 0.08647918701171875i,0.42196798324584961 - 0.096686840057373047i,0.46005821228027344 - 0.029956817626953125i,0.4732813835144043 + 0.059930324554443359i,0.40439319610595703 + 0.10225772857666016i,0.29779195785522461 + 0.087874412536621094i,0.23027420043945313 + 0.012347221374511719i,0.20133304595947266 - 0.12891530990600586i,0.25870084762573242 - 0.23064708709716797i,0.3601832389831543 - 0.26375055313110352i,0.4254918098449707 - 0.2019953727722168i,0.48061656951904297 - 0.11546039581298828i,0.42432117462158203 - 0.046843051910400391i,0.3206787109375 + 0.0037746429443359375i,0.21567535400390625 - 0.069802284240722656i,0.15379571914672852 - 0.16617870330810547i,0.18610095977783203 - 0.26154470443725586i,0.27898168563842773 - 0.33970737457275391i,0.36657094955444336 - 0.31667661666870117i,0.41505718231201172 - 0.15681171417236328i,0.32047557830810547 - 0.10631752014160156i,0.20714616775512695 - 0.1119384765625i,0.12906122207641602 - 0.2003931999206543i,0.12786388397216797 - 0.30840444564819336i,0.20566034317016602 - 0.39005422592163086i,0.2906036376953125 - 0.40132617950439453i,0.35781478881835938 - 0.35756683349609375i,0.35471248626708984 - 0.25771141052246094i,0.28822517395019531 - 0.19083452224731445i,0.17545604705810547 - 0.17904233932495117i,0.092264652252197266 - 0.24597549438476563i,0.042334556579589844 - 0.36750507354736328i,0.078538417816162109 - 0.44875478744506836i,0.13043308258056641 - 0.45892715454101563i,0.22150039672851563 - 0.46434879302978516i,0.23332357406616211 - 0.38163471221923828i,0.18076896667480469 - 0.30952692031860352i,0.069555759429931641 - 0.24115610122680664i,-0.039606094360351563 - 0.26397705078125i,-0.14552450180053711 - 0.31452035903930664i,-0.18961238861083984 - 0.41448974609375i,-0.19296121597290039 - 0.44594383239746094i,-0.1506648063659668 - 0.4794154167175293i,-0.12348747253417969 - 0.42172050476074219i,-0.12882041931152344 - 0.31461763381958008i,-0.16076850891113281 - 0.15785312652587891i,-0.24006986618041992 - 0.03772735595703125i
0.09002685546875 - 0.23153305053710938i,0.092480659484863281 - 0.33874416351318359i,0.11583280563354492 - 0.44336080551147461i,0.16279268264770508 - 0.4588618278503418i,0.16178369522094727 - 0.3844304084777832i,0.16524505615234375 - 0.34110736846923828i,0.10033798217773438 - 0.23166751861572266i,-0.0080318450927734375 - 0.20902156829833984i,-0.1418609619140625 - 0.20767402648925781i,-0.22130680084228516 - 0.25647783279418945i,-0.27620744705200195 - 0.36058616638183594i,-0.22533845901489258 - 0.3965153694152832i,-0.1611933708190918 - 0.44561004638671875i,-0.10677146911621094 - 0.39324045181274414i,-0.080905914306640625 - 0.29251956939697266i,-0.1227116584777832 - 0.19766807556152344i,-0.23975896835327148 - 0.099597930908203125i,-0.34439516067504883 - 0.083802700042724609i,-0.43624114990234375 - 0.15135478973388672i,-0.40968561172485352 - 0.23095893859863281i,-0.3868412971496582 - 0.32163381576538086i,-0.29479598999023438 - 0.29968023300170898i,-0.19824361801147461 - 0.25106906890869141i,-0.19971799850463867 - 0.10748577117919922i,-0.22815704345703125 - 0.002201080322265625i,-0.32138204574584961 + 0.038644313812255859i,-0.44256973266601563 + 0.035594940185546875i,-0.49417495727539063 - 0.031332969665527344i,-0.42421722412109375 - 0.17111778259277344i,-0.30487489700317383 - 0.12793445587158203i,-0.2302403450012207 - 0.051669597625732422i,-0.22652769088745117 + 0.065515995025634766i,-0.29268980026245117 + 0.16260337829589844i,-0.38829755783081055 + 0.18969917297363281i,-0.47571182250976563 + 0.16007709503173828i,-0.49466609954833984 + 0.10163497924804688i,-0.45614433288574219 + 0.018370151519775391i,-0.34887075424194336 + 0.0016002655029296875i,-0.25132322311401367 + 0.047036647796630859i,-0.20503759384155273 + 0.14902019500732422i,-0.20869636535644531 + 0.28654575347900391i,-0.27246999740600586 + 0.36156892776489258i,-0.30922317504882813 + 0.34639692306518555i,-0.40595483779907227 + 0.34123373031616211i,-0.37714767456054688 + 0.26375579833984375i,-0.31365013122558594 + 0.22940969467163086i,-0.1897130012512207 + 0.18437290191650391i,-0.083662033081054688 + 0.24527215957641602i,0.012877464294433594 + 0.31528377532958984i,0.052168846130371094 + 0.44103288650512695i,0.060956954956054688 + 0.46152591705322266i,0.024796009063720703 + 0.51167631149291992i,0.018792629241943359 + 0.46732997894287109i,0.040162563323974609 + 0.38304376602172852i,0.10111141204833984 + 0.21656703948974609i,0.20222139358520508 + 0.11034679412841797i
